ligne;colonne;vvaleurr
1;1;"161,447638797588"
1;2;"199,5"
1;3;"215,707345369609"
1;4;"224,58324062625"
1;5;"230,161878110106"
1;6;"233,986000356266"
1;7;"236,768400276996"
1;8;"238,882694802524"
1;9;"240,543254713263"
1;10;"241,881747250833"
1;20;"248,013082084739"
1;30;"250,095148187009"
1;40;"251,143153132783"
1;50;"251,774158286399"
1;60;"252,195739093981"
1;80;"252,723733748204"
1;100;"253,041071271702"
1;200;"253,676956204849"
1;500;"254,059257558373"
1;1000;"254,186819175489"
2;1;"18,5128205128205"
2;2;"19"
2;3;"19,1642921275113"
2;4;"19,2467943448089"
2;5;"19,2964096520172"
2;6;"19,329534015154"
2;7;"19,3532175360929"
2;8;"19,3709928980664"
2;9;"19,3848257181715"
2;10;"19,3958967235717"
2;20;"19,4457684906169"
2;30;"19,4624114104031"
2;40;"19,4707364323255"
2;50;"19,4757325853291"
2;60;"19,4790638289359"
2;80;"19,4832284177493"
2;100;"19,4857274560001"
2;200;"19,4907261736678"
2;500;"19,4937258146147"
2;1000;"19,4947257633214"
3;1;"10,1279644860139"
3;2;"9,55209449592115"
3;3;"9,2766281531448"
3;4;"9,11718225324641"
3;5;"9,01345516752258"
3;6;"8,94064512077038"
3;7;"8,88674295563428"
3;8;"8,8452384599594"
3;9;"8,81229955520644"
3;10;"8,78552471052401"
3;20;"8,6601898019307"
3;30;"8,61657587019733"
3;40;"8,59441124999817"
3;50;"8,58099626695954"
3;60;"8,57200411265095"
3;80;"8,56070863492717"
3;100;"8,55390171383865"
3;200;"8,54022080116834"
3;500;"8,53196910137824"
3;1000;"8,52921131023178"
4;1;"7,70864742217678"
4;2;"6,94427190999915"
4;3;"6,59138211642558"
4;4;"6,38823290869587"
4;5;"6,25605650216089"
4;6;"6,16313228268863"
4;7;"6,09421092569889"
4;8;"6,04104447611916"
4;9;"5,99877903121025"
4;10;"5,96437055223803"
4;20;"5,80254189325282"
4;30;"5,74587698254355"
4;40;"5,71699840549477"
4;50;"5,69949150091052"
4;60;"5,68774412920434"
4;80;"5,67297325995896"
4;100;"5,66406407097545"
4;200;"5,64613948425593"
4;500;"5,63531605099849"
4;1000;"5,6316966905363"
5;1;"6,60789097370337"
5;2;"5,78613504334996"
5;3;"5,40945131805649"
5;4;"5,19216777280392"
5;5;"5,05032905763265"
5;6;"4,95028806869432"
5;7;"4,875871695834"
5;8;"4,81831953565687"
5;9;"4,77246561310086"
5;10;"4,73506306969342"
5;20;"4,55813149739652"
5;30;"4,49571226171615"
5;40;"4,46379332437723"
5;50;"4,44440561835855"
5;60;"4,43137970423763"
5;80;"4,41498192098467"
5;100;"4,40508082443198"
5;200;"4,38513578144978"
5;500;"4,37307591583732"
5;1000;"4,3690402805096"
6;1;"5,9873776072737"
6;2;"5,14325284978472"
6;3;"4,75706266308942"
6;4;"4,53367695027524"
6;5;"4,38737418740613"
6;6;"4,28386571382264"
6;7;"4,20665848786921"
6;8;"4,14680416227653"
6;9;"4,09901554171652"
6;10;"4,0599627943307"
6;20;"3,87418858102651"
6;30;"3,80816426527036"
6;40;"3,77428628481602"
6;50;"3,75366765904947"
6;60;"3,73979661264286"
6;80;"3,72231356604012"
6;100;"3,71174535817937"
6;200;"3,69042862762796"
6;500;"3,67752081973287"
6;1000;"3,67319824033857"
7;1;"5,59144785122074"
7;2;"4,73741412777588"
7;3;"4,34683139990782"
7;4;"4,12031172689763"
7;5;"3,97152315061134"
7;6;"3,86596885312385"
7;7;"3,78704353992807"
7;8;"3,7257253171227"
7;9;"3,67667469893951"
7;10;"3,63652312062835"
7;20;"3,44452483207532"
7;30;"3,37580750190044"
7;40;"3,34042965183302"
7;50;"3,31885564158029"
7;60;"3,30432287642244"
7;80;"3,28598323610972"
7;100;"3,27488466349359"
7;200;"3,25246831226107"
7;500;"3,23887463089695"
7;1000;"3,23431889490079"
8;1;"5,31765507157871"
8;2;"4,45897010752451"
8;3;"4,06618055135116"
8;4;"3,8378533545559"
8;5;"3,68749866634003"
8;6;"3,58058031976146"
